# Section: Parameters
Param,Value
p,0.500000
k,20
step_size,0.100000
num_nodes,1000
goal_cost,3.099647

# Section: Joint_Limits
joint,q_min,q_max
1,-2.897300,2.897300
2,-1.762800,1.762800
3,-2.897300,2.897300
4,-3.071800,-0.069800
5,-2.897300,2.897300

# Section: Start
q1,q2,q3,q4,q5
0.000000,0.000000,0.000000,0.000000,0.000000

# Section: Goal
q1,q2,q3,q4,q5
0.500000,1.000000,1.000000,-0.500000,1.000000

# Section: Obstacles
center_x,center_y,center_z,radius
0.300000,-0.170000,0.090000,0.200000

# Section: All_Edges
q1_src,q2_src,q3_src,q4_src,q5_src,q1_dst,q2_dst,q3_dst,q4_dst,q5_dst
0.342952,0.452116,0.189344,-1.165263,-0.290644,1.658855,0.262965,0.385778,-1.897890,0.006681
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.506759,-0.726116,1.240387,-1.487802,0.199658
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.500000,1.000000,1.000000,-0.500000,1.000000
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.419690,1.071701,0.222521,-1.085511,1.378279
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.413265,0.571542,0.253681,-0.476592,1.355414
0.342952,0.452116,0.189344,-1.165263,-0.290644,1.737117,-0.531001,-0.184084,-1.195622,-0.708529
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.230235,0.451101,1.010021,-1.473291,1.283052
0.342952,0.452116,0.189344,-1.165263,-0.290644,1.265872,0.123525,-0.135481,-0.554375,-1.708958
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.181467,1.192189,-1.244157,-1.783394,-1.345641
0.342952,0.452116,0.189344,-1.165263,-0.290644,-0.287034,-0.095292,0.709953,-1.661629,-0.304401
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.848620,1.368071,0.571883,-1.564335,-2.092596
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.157765,0.467298,0.837147,-0.610767,-0.965338
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.794387,0.092647,-0.213399,-2.367370,-1.140412
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.822022,0.249082,0.394569,-1.081452,0.280355
0.342952,0.452116,0.189344,-1.165263,-0.290644,0.874737,0.509771,0.355172,-0.739462,-1.709516
