# Section: Parameters
Param,Value
p,0.500000
k,20
step_size,0.100000
num_nodes,1000
goal_cost,3.846126

# Section: Joint_Limits
joint,q_min,q_max
1,-2.897300,2.897300
2,-1.762800,1.762800
3,-2.897300,2.897300
4,-3.071800,-0.069800
5,-2.897300,2.897300

# Section: Start
q1,q2,q3,q4,q5
-1.500000,1.000000,1.000000,-0.500000,1.000000

# Section: Goal
q1,q2,q3,q4,q5
0.500000,1.000000,1.000000,-0.500000,1.000000

# Section: Obstacles
center_x,center_y,center_z,radius
0.300000,-0.170000,0.090000,0.200000

# Section: All_Edges
q1_src,q2_src,q3_src,q4_src,q5_src,q1_dst,q2_dst,q3_dst,q4_dst,q5_dst
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.385010,1.028833,0.521258,-1.630702,-0.460463
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.685471,0.280814,-0.918078,-1.458935,-0.231093
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.289625,0.836996,-1.841038,-1.378777,1.974278
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.791592,0.694407,2.881397,-0.380176,0.440380
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.866589,1.674897,-0.053607,-0.901666,1.859264
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.741237,0.832913,0.172911,-0.948695,1.551675
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.067931,-1.041658,1.240416,-1.588868,1.475510
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.413792,0.797123,0.538683,-2.764958,2.426492
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.293231,1.200254,2.379762,-2.703122,-1.530319
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.193429,0.754687,0.160208,-1.467363,-0.109588
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.185857,1.327191,0.828196,-0.958554,2.379402
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.444416,0.469251,-0.033181,-1.350770,1.959195
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.389352,0.053758,-0.051072,-0.080800,2.302983
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.265053,0.530644,1.536675,-0.292924,-0.358267
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.415939,-0.697855,1.344104,-0.516575,0.993337
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.617837,-1.150218,0.902356,-0.526056,1.299830
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.486443,0.534871,1.800301,-1.228328,2.083537
-1.500000,1.000000,1.000000,-0.500000,1.000000,-0.913324,-0.305259,1.496079,-0.840042,0.648650
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.215600,0.845193,-1.044959,-0.104575,-0.084839
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.908846,1.579851,-0.317277,-0.703816,0.808958
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.177882,0.770094,2.630940,-0.906177,2.102747
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.901507,0.486099,1.396390,-1.480765,1.906526
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.453226,1.313765,1.901306,-2.423188,1.792411
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.732208,0.050067,1.368852,-1.761668,0.966376
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.141097,0.230645,-0.334625,-0.678572,1.299338
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.140708,1.110455,1.950239,-1.164495,1.837486
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.663842,0.043064,1.045806,-0.274843,0.697503
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.087839,0.760599,2.739650,-0.120640,-0.034888
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.388368,1.193062,1.249436,-1.009602,2.277937
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.487092,0.565465,1.791660,-1.051959,-0.016056
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.700516,0.828608,2.123437,-1.508112,0.980828
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.239523,0.785393,2.580376,-0.318736,0.483422
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.125878,0.086379,0.880015,-0.731792,1.548147
-1.500000,1.000000,1.000000,-0.500000,1.000000,-2.069565,0.931645,1.680286,-1.152635,2.048191
-1.500000,1.000000,1.000000,-0.500000,1.000000,-1.028832,-0.210754,1.930817,-0.281718,0.744159
-1.028832,-0.210754,1.930817,-0.281718,0.744159,-0.899497,-0.386774,2.265814,-0.629346,1.245566
-1.028832,-0.210754,1.930817,-0.281718,0.744159,-1.135566,-0.641291,2.672234,-0.394884,2.023353
-1.028832,-0.210754,1.930817,-0.281718,0.744159,0.096398,-0.843221,2.875592,-0.173611,0.337787
-0.899497,-0.386774,2.265814,-0.629346,1.245566,0.613800,0.013074,2.192769,-0.212345,1.474940
0.613800,0.013074,2.192769,-0.212345,1.474940,1.508402,-0.280873,2.570213,-0.362393,2.156525
-1.125878,0.086379,0.880015,-0.731792,1.548147,-0.135040,-0.372426,0.286336,-0.829679,1.248684
-1.125878,0.086379,0.880015,-0.731792,1.548147,-0.168812,0.550188,0.345236,-1.009308,0.916025
-1.125878,0.086379,0.880015,-0.731792,1.548147,-0.090405,0.566987,0.307122,-1.278177,1.644696
-1.125878,0.086379,0.880015,-0.731792,1.548147,-0.080868,0.578553,0.162524,-0.161537,1.297928
-0.080868,0.578553,0.162524,-0.161537,1.297928,0.500000,1.000000,1.000000,-0.500000,1.000000
-0.080868,0.578553,0.162524,-0.161537,1.297928,1.104913,0.341195,0.009131,-0.141287,1.063041
-0.080868,0.578553,0.162524,-0.161537,1.297928,0.341610,-0.576810,0.110223,-0.132052,1.137842
-0.080868,0.578553,0.162524,-0.161537,1.297928,1.041317,0.247432,0.638542,-0.242801,1.670009
-0.080868,0.578553,0.162524,-0.161537,1.297928,0.376558,1.292302,0.416105,-0.348386,2.566914
1.104913,0.341195,0.009131,-0.141287,1.063041,2.885580,1.262655,-0.533464,-0.129056,0.869846
-0.090405,0.566987,0.307122,-1.278177,1.644696,0.826171,0.914344,0.002580,-1.443624,2.616138
-0.090405,0.566987,0.307122,-1.278177,1.644696,1.899866,1.014361,0.720996,-1.587368,2.778805
-0.090405,0.566987,0.307122,-1.278177,1.644696,1.269944,0.223257,-0.420098,-2.092132,1.968192
-0.090405,0.566987,0.307122,-1.278177,1.644696,0.601775,0.270110,0.340525,-1.957549,1.655188
-0.090405,0.566987,0.307122,-1.278177,1.644696,0.693126,0.351247,0.036682,-2.019859,2.392770
